,g_id_right,popTot,id,avg,lamb
56,64.0,71,24,48.86184210526316,0.020465867779722632
57,65.0,527,27,61.955729166666664,0.01614055735362112
58,66.0,1340,182,8.006361323155216,0.12490068329890354
59,67.0,2088,209,6.9778311965811985,0.14331100478468894
60,68.0,2278,240,5.937037037037038,0.1684341859014348
61,69.0,1825,201,7.59527972027972,0.13166072045114513
62,70.0,1363,252,5.958563535911604,0.1678256838201205
63,71.0,891,100,16.257575757575758,0.06150978564771668
65,74.0,58,9,91.68333333333332,0.010907107798582076
68,77.0,454,70,18.929012345679013,0.05282895809554867
69,78.0,375,59,25.688492063492067,0.03892793697381632
70,79.0,29,8,178.33333333333331,0.005607476635514019
71,80.0,1583,151,10.301282051282053,0.09707529558182948
72,81.0,272,46,33.37202380952381,0.029965218942299116
73,82.0,1558,228,6.932059447983014,0.14425727411944872
74,83.0,910,134,11.514627659574469,0.0868460561265735
75,84.0,371,413,3.550108932461874,0.28168149739183795
76,85.0,506,234,5.996064814814814,0.16677604910628113
77,86.0,1353,208,7.254999999999998,0.1378359751895245
78,87.0,1502,206,7.340986394557823,0.13622147573265378
79,88.0,933,168,10.971649484536085,0.09114399812074228
80,89.0,670,79,19.309090909090905,0.05178907721280604
81,90.0,778,116,11.873168498168498,0.08422351625467588
82,91.0,219,36,38.555059523809526,0.025936933112046007
84,93.0,1107,108,12.046348314606739,0.08301270840620266
85,94.0,1036,122,11.366134751773048,0.08798065673504409
86,95.0,490,97,14.453333333333333,0.06918819188191883
87,96.0,1224,365,3.9237878787878784,0.2548557748001699
89,98.0,623,19,54.36666666666666,0.01839362354383814
90,99.0,250,10,105.20833333333333,0.009504950495049505
91,100.0,35,6,71.95833333333333,0.013896931094383325
92,103.0,130,10,140.39880952380955,0.007122567516004577
93,104.0,258,95,18.096982758620687,0.05525783017744433
94,105.0,109,22,85.4826388888889,0.01169828181485844
97,108.0,140,24,63.171875,0.015829829334652486
98,109.0,300,161,10.311507936507935,0.09697902636136234
99,110.0,1766,455,3.2496234939759034,0.30772795736299385
100,111.0,1150,363,4.288372859025032,0.23318867852068056
101,112.0,2860,420,3.5369163952225846,0.28273215656178047
102,113.0,1187,107,12.66418650793651,0.07896282950139046
103,114.0,1757,313,4.819505899705016,0.20749014957346693
104,115.0,1477,245,5.451633165829146,0.18343127088374236
105,116.0,514,99,14.820422535211268,0.06747445949156569
106,117.0,3553,750,1.98519536019536,0.5037287614361499
107,118.0,2418,813,1.8864692218350754,0.5300908111436048
109,120.0,683,55,26.340625,0.03796417131332305
110,121.0,1592,234,6.854166666666668,0.14589665653495437
111,122.0,401,36,45.878623188405804,0.021796643632773935
112,123.0,100,18,69.14583333333333,0.014462187405845135
113,124.0,73,25,58.27083333333333,0.017161244190203793
114,125.0,107,12,79.61666666666666,0.01256018421603517
115,126.0,129,22,51.716145833333336,0.01933632106349766
116,127.0,1164,115,12.654411764705882,0.07902382335851249
117,128.0,1637,207,6.694701646090534,0.14937185447001422
118,129.0,2056,301,5.137896825396826,0.19463216837227262
119,130.0,2192,294,5.020736434108527,0.19917396842552207
120,131.0,1731,8471,0.20765928764013053,4.815580421969762
121,132.0,1504,856,1.6971960167714886,0.5892071334825909
122,133.0,1773,513,3.0263772175536876,0.33042807558812193
123,134.0,2604,464,3.2489989989989985,0.3077871062158207
124,135.0,499,83,16.846354166666668,0.05936002473334363
125,136.0,2730,487,3.0181712962962957,0.33132645626414087
126,137.0,728,99,20.504006410256412,0.04877095627027238
127,138.0,428,38,30.044117647058822,0.033284385707293196
130,142.0,994,105,14.827054794520548,0.06744427763021134
131,143.0,1052,78,18.395480225988702,0.05436117936117935
132,144.0,795,76,23.820370370370373,0.04198087537899401
133,145.0,2167,1604,0.9542782738095237,1.0479123620911466
134,146.0,2301,584,2.727177554438861,0.366679462571977
135,147.0,2130,311,4.915723981900452,0.20342883442641813
136,148.0,977,81,16.754487179487178,0.05968550330948464
137,149.0,235,34,67.01302083333333,0.014922473089029652
138,150.0,2807,252,5.821171171171172,0.1717867368258144
139,151.0,939,66,29.112612612612608,0.03434937335602662
140,152.0,37,6,178.94791666666669,0.005588218173351184
142,154.0,43,10,130.57142857142858,0.007658643326039386
143,155.0,193,10,138.20833333333334,0.007235453723243895
